candidate_id,gender,age,race,disability,years_experience,education_level,university_rank,skills_count,previous_salary,hired
142,male,56,black,no,18,Bachelor,42,3,116110,0
143,male,59,asian,no,15,Bachelor,7,3,49308,1
144,male,34,white,no,9,PhD,88,5,65218,1
145,male,46,black,no,11,Bachelor,74,14,88958,1
146,male,30,white,no,7,Bachelor,59,8,50086,1
147,female,25,hispanic,no,0,Master,5,7,42662,1
148,male,35,white,no,10,Master,74,17,26901,0
149,male,58,white,no,11,Bachelor,49,4,98024,1
150,male,55,white,no,0,Master,51,11,66370,1
151,female,32,white,no,12,Bachelor,83,16,153181,1
152,male,62,asian,no,8,Master,30,15,55141,1
153,male,24,asian,no,12,Bachelor,18,12,56963,1
154,male,49,black,no,8,Bachelor,58,16,65865,1
155,female,50,white,no,17,Master,75,6,86078,0
156,male,30,white,no,11,Bachelor,50,6,68244,1
157,female,24,white,no,16,Master,35,7,95308,1
158,female,46,black,no,16,Bachelor,92,17,55535,0
159,male,55,asian,no,3,Bachelor,63,10,45460,0
160,female,33,white,no,5,Master,99,12,35044,1
161,male,63,white,no,12,Bachelor,33,6,24410,1
162,female,30,black,no,7,Bachelor,21,7,67048,1
163,female,36,asian,no,8,Bachelor,18,14,72475,1
164,male,61,asian,no,17,Master,40,6,64214,1
165,male,46,asian,no,8,PhD,62,16,111085,1
166,female,26,white,no,4,PhD,28,8,110700,0
167,male,32,white,no,4,Bachelor,67,14,71629,1
168,male,55,asian,no,23,Bachelor,95,5,35151,1
169,male,45,black,no,8,Bachelor,29,10,65832,1
170,female,36,white,no,1,Master,63,8,65004,0
171,female,59,asian,no,0,Bachelor,36,12,63571,1
172,male,29,asian,no,6,PhD,86,7,62557,1
173,male,26,black,no,8,Bachelor,22,15,63663,1
174,male,47,black,no,15,PhD,41,17,70336,1
175,female,39,white,yes,15,Master,30,4,64111,1
176,male,27,black,no,9,Master,13,12,85208,1
177,female,58,black,no,7,Bachelor,68,12,89009,1
178,male,34,asian,no,12,Bachelor,76,9,57233,1
179,female,49,asian,no,0,Bachelor,24,4,111776,1
180,male,26,asian,no,21,Bachelor,58,3,55498,1
181,male,34,white,no,13,Bachelor,90,9,39554,1
182,male,38,asian,no,15,Master,87,7,89519,1
183,female,61,asian,no,3,Bachelor,34,3,59564,0
184,female,53,black,no,17,Master,57,17,88032,0
185,male,50,asian,no,7,Master,96,6,19908,0
186,female,24,asian,no,4,Bachelor,67,14,114811,0
187,female,61,white,no,9,PhD,15,15,96807,0
188,female,55,black,no,9,Bachelor,35,6,42488,0
189,male,61,white,no,3,Bachelor,53,12,43030,0
190,male,48,white,no,4,Bachelor,98,9,121806,0
191,male,34,black,no,4,Master,91,11,61565,1
192,female,54,asian,no,4,Bachelor,23,4,59145,1
193,female,27,white,no,7,Bachelor,16,14,23348,1
194,female,45,white,no,1,Master,19,16,71230,0
195,male,40,black,no,5,Bachelor,35,3,74307,0
196,male,37,white,no,16,Master,47,4,97887,1
197,female,61,white,no,14,PhD,41,9,45023,1
198,female,49,white,no,3,PhD,83,15,41992,0
199,female,54,white,no,15,Bachelor,33,12,91274,0
200,female,62,white,no,0,Bachelor,30,8,105168,1
201,female,34,white,no,24,Bachelor,6,6,40721,0
202,male,64,white,yes,17,Bachelor,88,3,107037,0
203,male,46,asian,no,6,Bachelor,19,15,80938,0
204,female,63,black,no,12,Bachelor,8,3,107295,0
205,female,57,asian,no,1,PhD,90,7,78244,0
206,male,48,white,no,10,PhD,54,17,16943,1
207,male,59,white,no,8,Bachelor,42,3,76200,0
208,female,28,asian,no,4,Bachelor,27,14,106503,0
209,male,26,white,no,7,Bachelor,63,17,57656,1
210,male,64,white,no,6,Bachelor,94,9,70300,0
211,male,52,black,no,3,Master,79,15,75596,1
212,female,44,black,no,4,Master,32,13,7512,1
213,female,63,white,no,1,PhD,70,3,121783,0
214,male,31,white,no,15,Master,12,3,57465,1
215,female,53,black,no,4,Master,33,4,92643,0
216,male,64,white,no,2,Master,15,15,77832,1
217,male,51,black,no,15,Bachelor,22,16,111440,1
218,female,60,asian,yes,12,Master,59,13,90151,0
219,female,52,hispanic,no,14,Bachelor,54,14,74126,1
220,female,39,white,no,15,Bachelor,18,12,57662,0
221,female,57,asian,no,21,Bachelor,78,5,99946,1
222,female,23,black,no,9,Bachelor,13,15,33163,0
223,male,35,white,no,1,PhD,15,13,96147,1
224,male,34,white,no,11,Bachelor,67,17,52523,0
225,male,50,asian,yes,5,Bachelor,80,3,111307,1
226,male,33,white,no,4,Bachelor,71,17,84032,1
227,female,60,white,no,10,Master,57,11,96103,1
228,male,23,white,no,15,Bachelor,43,12,82049,1
229,female,53,asian,no,4,PhD,82,10,36190,0
230,female,34,asian,no,17,PhD,60,7,58481,1
231,female,48,asian,no,4,Master,32,15,96809,1
232,male,62,white,no,8,Master,79,13,84166,1
233,female,38,white,no,12,Bachelor,43,4,109524,0
234,male,61,black,no,7,Bachelor,29,7,90081,0
235,male,52,white,no,0,Master,25,8,55832,1
236,female,55,white,no,15,Bachelor,14,16,60098,1
237,male,45,black,no,6,Bachelor,47,17,82572,1
238,male,56,hispanic,no,14,Master,19,3,22148,1
239,female,27,asian,no,2,Bachelor,87,13,121836,0
240,male,40,asian,no,3,PhD,52,6,91043,1
241,female,51,hispanic,no,15,Bachelor,90,11,110675,1
242,female,28,white,no,12,Master,25,4,40484,1
243,female,31,black,no,7,Master,64,7,111114,0
244,male,62,hispanic,no,12,Master,54,3,135787,0
245,male,53,white,no,4,Bachelor,27,6,46978,1
246,female,55,asian,no,10,Master,17,6,99285,0
247,male,49,black,no,10,PhD,73,8,80027,1
248,female,36,black,no,7,Bachelor,8,12,41389,0
249,female,51,black,no,4,Bachelor,96,11,92322,1
250,female,58,hispanic,no,10,Master,82,5,100840,0
251,male,50,asian,no,9,Master,76,11,64971,1
252,male,43,white,no,7,Bachelor,13,8,109147,0
253,female,25,asian,no,3,PhD,39,9,38330,1
254,male,41,white,no,10,Bachelor,25,14,42631,0
255,male,53,white,no,7,Bachelor,62,12,83414,0
256,female,57,white,no,3,Master,22,4,80634,1
257,female,25,white,no,10,Master,76,13,62085,1
258,female,48,white,no,19,PhD,85,12,100239,1
259,female,38,hispanic,no,7,PhD,47,16,93272,1
260,male,33,asian,no,18,Bachelor,99,8,101453,1
261,female,43,black,no,22,Bachelor,10,8,76921,0
262,female,38,white,no,4,Bachelor,90,4,95064,1
263,male,31,hispanic,no,10,Master,82,4,68858,0
264,male,22,hispanic,no,22,PhD,71,16,131345,1
265,female,43,asian,no,9,Bachelor,16,4,59686,0
266,female,47,white,no,10,Bachelor,16,12,132632,1
267,female,39,white,yes,0,Bachelor,70,14,80872,0
268,female,35,white,no,6,Master,6,3,45612,1
269,male,50,white,yes,13,Bachelor,19,7,114201,1
270,male,33,white,no,24,Bachelor,27,10,83147,0
271,female,57,hispanic,no,8,Master,33,4,101278,0
272,female,56,white,no,0,Master,85,15,110596,0
273,female,33,white,no,1,Master,11,17,88448,0
274,female,28,white,no,9,Master,98,7,65193,0
275,male,50,white,no,17,Bachelor,32,14,104392,1
276,male,32,white,no,13,Master,18,10,80018,0
277,female,54,white,no,12,Master,48,12,97146,1
278,female,27,white,no,17,PhD,34,16,26156,0
279,female,36,asian,no,5,Bachelor,85,7,91174,0
280,female,53,hispanic,yes,10,Bachelor,36,4,64035,1
281,female,32,white,no,6,Bachelor,74,5,121332,1
282,male,44,white,yes,8,Bachelor,92,17,95577,0
283,male,47,asian,no,3,Master,10,8,85996,1
284,male,55,white,no,7,Bachelor,31,13,92157,1
285,female,55,white,no,9,Bachelor,86,13,55038,1
286,male,50,asian,no,7,Bachelor,92,7,120581,1
287,male,25,white,no,9,Bachelor,28,13,129784,1
288,male,38,black,no,12,Bachelor,38,6,89822,1
289,male,56,black,no,17,Bachelor,44,6,119760,0
290,female,34,white,no,17,Bachelor,51,7,65771,1
291,male,62,white,yes,14,Master,83,4,60072,0
292,male,60,asian,no,2,Master,79,11,81023,0
293,female,36,white,no,7,Bachelor,90,4,90873,0
294,male,50,white,no,8,PhD,28,12,70150,0
295,male,50,asian,no,6,Master,69,4,93444,1
296,male,32,black,no,12,Master,22,12,87659,0
297,female,53,white,no,0,Bachelor,48,16,55042,1
298,male,23,asian,no,20,Bachelor,80,11,92969,1
299,female,35,white,no,17,Bachelor,61,16,101588,1
300,male,41,asian,no,12,Bachelor,32,5,84286,1
301,male,43,asian,no,9,Bachelor,75,17,108816,0
302,male,32,black,no,17,PhD,27,12,49564,1
303,male,48,white,yes,14,Bachelor,89,9,91698,0
304,female,24,hispanic,no,16,Bachelor,38,6,50742,0
305,female,38,white,no,9,Master,15,15,52147,0
306,female,49,asian,no,20,Bachelor,90,15,64226,1
307,male,50,white,no,17,Master,39,8,56448,1
308,male,42,white,no,13,Master,97,16,66300,1
309,female,37,white,no,17,Master,46,6,74646,1
310,male,58,hispanic,yes,7,PhD,32,12,100928,0
311,male,41,hispanic,no,2,Bachelor,86,17,71971,1
312,male,27,white,yes,11,Master,82,9,40359,1
313,male,40,white,no,9,PhD,86,3,108501,0
314,female,26,asian,no,8,Master,96,5,59072,1
315,female,24,white,no,17,Bachelor,28,15,78531,0
316,female,22,white,yes,11,PhD,12,5,91163,1
317,male,59,black,no,11,Bachelor,57,3,84990,1
318,male,36,black,no,8,PhD,76,8,107354,1
319,male,55,hispanic,yes,15,Bachelor,8,17,91975,1
320,male,56,white,no,14,Master,95,15,58467,1
321,male,46,white,no,15,PhD,9,13,134464,1
322,female,45,black,no,7,Bachelor,53,16,84858,0
323,female,33,asian,no,17,Bachelor,34,11,76316,0
324,male,39,black,no,21,Bachelor,76,10,104098,1
325,female,36,black,no,15,PhD,67,13,86236,1
326,female,37,white,no,5,Master,51,9,89980,0
327,female,48,asian,no,5,Master,30,12,142304,0
328,female,29,white,no,7,Master,61,10,73121,1
329,male,46,white,no,6,Master,41,8,72055,1
330,male,38,black,no,9,Bachelor,11,11,82914,0
331,male,50,white,no,13,Bachelor,44,5,106787,1
332,female,29,white,no,11,Master,96,17,42336,0
333,male,36,asian,no,11,Bachelor,43,12,30861,1
334,male,48,white,no,8,Bachelor,66,12,65322,0
335,male,28,asian,yes,9,Bachelor,96,11,39151,0
336,male,24,white,no,14,Bachelor,82,6,69379,1
337,female,50,asian,no,0,PhD,57,9,92562,1
338,female,45,white,no,9,Bachelor,8,17,57731,1
339,male,24,white,no,11,Master,86,15,44329,0
340,male,41,hispanic,no,14,Bachelor,29,11,81733,1
341,male,36,asian,no,3,Bachelor,11,4,101563,1
342,male,46,white,no,3,Bachelor,32,4,37625,0
343,male,51,white,no,13,Master,73,11,100505,1
344,male,35,asian,no,0,Master,71,14,100432,1
345,male,28,black,no,17,PhD,99,15,103852,1
346,female,38,asian,no,11,Master,24,5,110462,1
347,female,41,asian,no,19,Master,87,11,135050,0
348,male,57,white,no,3,Master,15,15,71097,0
349,male,30,white,no,7,PhD,71,17,82739,1
350,female,59,black,no,0,Master,91,7,69589,0
351,male,43,white,no,5,Bachelor,11,8,80049,0
352,female,23,white,no,8,Master,27,4,118321,0
353,female,45,hispanic,no,0,Master,65,10,46374,1
354,male,29,black,no,7,Master,75,13,58473,0
355,male,32,asian,no,0,Bachelor,38,11,114429,1
356,female,34,black,no,8,PhD,23,4,105500,1
357,male,38,black,yes,16,PhD,62,8,70921,1
358,female,29,white,no,9,Bachelor,13,8,101360,1
359,female,42,white,no,19,PhD,52,10,88530,0
360,female,39,white,no,14,Bachelor,86,12,117506,1
361,male,51,white,no,18,Bachelor,45,14,81862,0
362,female,39,asian,no,5,Bachelor,52,7,105640,1
363,male,52,white,no,5,Bachelor,49,11,146050,0
364,male,59,white,no,12,Master,29,3,94952,1
365,female,53,white,yes,0,Bachelor,82,11,81233,1
366,male,32,white,no,12,Bachelor,29,12,98061,1
367,female,46,white,yes,8,Bachelor,23,9,70867,0
368,female,54,white,no,17,Bachelor,43,6,139699,1
369,male,59,white,no,14,Bachelor,83,5,84501,0
370,male,62,white,no,16,Master,84,16,73176,1
371,male,29,white,no,5,Bachelor,31,12,59107,1
372,male,32,asian,no,16,PhD,78,17,107430,1
373,male,43,white,no,18,Master,67,13,101679,0
374,female,45,white,no,9,Bachelor,72,16,67566,0
375,male,62,black,no,5,PhD,23,8,94411,0
376,male,38,white,no,5,Bachelor,32,14,42286,0
377,female,33,asian,no,17,Bachelor,89,15,84624,1
378,male,53,black,no,26,Bachelor,82,3,91318,1
379,female,36,white,no,4,Bachelor,37,5,122683,1
380,male,37,black,no,3,Master,14,4,60729,0
381,male,43,white,no,15,Master,87,13,48041,0
382,female,49,black,no,5,Bachelor,34,15,57614,0
383,female,41,white,no,16,Master,26,11,46585,1
384,female,54,asian,yes,12,Bachelor,7,5,113416,0
385,female,31,white,no,9,Master,86,15,118715,1
386,female,61,black,no,12,Bachelor,79,4,88005,0
387,male,53,black,no,12,Bachelor,52,6,110532,1
388,male,54,white,no,8,Bachelor,6,17,83348,0
389,female,23,white,no,0,Bachelor,80,16,77622,1
390,female,54,asian,no,11,Master,58,4,71674,0
391,female,54,asian,no,19,Master,10,3,72240,0
392,male,62,white,no,0,Bachelor,44,8,41304,0
393,male,34,asian,no,4,Master,97,17,86606,1
394,female,51,hispanic,no,12,Master,98,12,78991,0
395,male,54,asian,no,10,PhD,6,10,98634,0
396,female,34,white,no,12,Bachelor,77,12,82338,0
397,female,47,asian,no,5,Bachelor,6,12,75932,0
398,male,43,white,no,16,PhD,97,4,58220,0
399,female,60,hispanic,no,10,Master,78,16,81803,0
400,female,23,white,no,14,Bachelor,59,11,98455,0
401,male,59,white,no,11,Bachelor,76,17,51416,0
402,female,60,asian,no,11,Bachelor,64,15,82186,1
403,male,47,white,no,13,Master,10,5,85826,1
404,female,36,hispanic,no,11,Master,23,10,62048,0
405,male,55,hispanic,no,2,Bachelor,31,14,65303,0
406,female,63,black,no,16,Master,5,10,85765,0
407,male,61,white,no,14,Master,37,17,51664,1
408,male,32,black,no,0,Master,44,5,88748,1
409,female,24,white,no,6,Master,36,5,57616,0
410,male,27,white,no,16,Master,73,14,106571,1
411,male,30,asian,no,0,Bachelor,21,17,138445,1
412,female,27,white,no,15,PhD,12,8,58481,0
413,female,30,white,no,9,Bachelor,61,3,93355,1
414,female,60,hispanic,yes,18,Bachelor,46,6,61831,0
415,female,52,white,no,9,Bachelor,13,3,106023,0
416,male,53,white,no,5,Bachelor,91,16,48368,1
417,male,62,hispanic,no,11,Bachelor,39,5,92014,1
418,male,33,white,no,9,Bachelor,75,11,58175,0
419,female,29,asian,no,5,Master,83,16,74825,1
420,female,29,hispanic,no,23,Bachelor,57,16,54224,1
421,female,49,hispanic,no,4,Master,58,7,100558,1
422,female,41,black,no,0,Bachelor,88,14,59075,0
423,male,28,white,no,19,PhD,29,7,93799,1
424,male,32,white,no,6,Master,71,13,71397,1
425,male,41,asian,no,8,Bachelor,66,6,77138,1
426,male,37,asian,no,7,Master,59,5,83693,0
427,male,25,black,no,6,Master,50,7,60954,1
428,female,27,white,no,5,Master,28,17,85259,1
429,male,43,white,no,4,Master,50,16,118258,1
430,male,47,white,no,10,Master,26,13,60547,1
431,male,24,asian,no,7,Master,15,6,109295,0
432,female,62,white,no,14,Bachelor,52,10,117452,0
433,female,63,hispanic,no,12,Bachelor,12,6,59596,0
434,male,35,asian,no,4,Master,43,13,43623,0
435,male,32,white,no,10,Bachelor,39,14,87549,0
436,female,39,black,no,7,Bachelor,53,10,66314,0
437,male,33,white,no,4,Bachelor,50,8,126715,1
438,female,44,black,no,14,Bachelor,42,17,80870,0
439,female,33,asian,no,9,PhD,12,16,59945,1
440,male,34,asian,no,7,Bachelor,58,14,51321,0
441,male,46,asian,no,4,Bachelor,41,13,107247,1
442,female,40,white,no,3,Master,95,7,65720,0
443,male,57,white,no,21,Master,96,6,81095,1
444,male,29,asian,no,12,Bachelor,44,6,103895,1
445,female,50,white,no,3,Bachelor,38,14,67893,0
446,female,53,white,no,11,PhD,83,6,78851,0
447,female,39,white,no,16,Master,21,13,79585,0
448,female,27,black,yes,11,Bachelor,37,15,97083,0
449,male,39,white,no,18,Bachelor,51,15,94768,1
450,male,40,black,no,0,Bachelor,56,11,74497,1
451,female,43,hispanic,no,0,Bachelor,84,6,81591,0
452,female,58,white,yes,11,Bachelor,97,14,70705,1
453,male,53,white,no,11,PhD,13,11,43059,1
454,female,62,white,no,0,Bachelor,37,15,86440,0
455,male,24,asian,no,6,Master,64,12,127304,1
456,male,49,white,no,3,Bachelor,97,8,57907,0
457,male,31,white,no,1,Master,81,12,60674,1
458,male,56,white,no,3,Master,25,15,58231,1
459,male,50,asian,yes,13,Bachelor,62,9,98114,1
460,male,36,white,no,3,Master,89,14,91212,1
461,male,54,asian,no,4,Bachelor,73,12,76036,1
462,female,28,hispanic,no,0,PhD,14,5,57049,1
463,female,33,white,no,17,PhD,10,10,82309,1
464,female,51,asian,no,12,Bachelor,17,5,40884,0
465,female,42,white,no,0,Bachelor,69,3,83585,1
466,male,52,asian,no,4,Bachelor,24,15,101788,0
467,male,45,black,no,13,Master,61,15,48720,1
468,female,41,asian,no,17,Bachelor,50,12,41687,1
469,male,58,white,no,15,Bachelor,12,14,119485,0
470,female,25,white,no,7,Bachelor,14,7,64706,0
471,male,49,white,no,0,Bachelor,77,4,108398,1
472,female,41,white,no,15,Master,71,12,76150,0
473,male,45,white,no,8,Bachelor,15,16,75951,1
474,female,53,white,no,10,Master,16,8,90960,0
475,male,62,white,no,8,Bachelor,14,15,57900,1
476,female,57,white,no,1,Bachelor,29,12,83312,0
477,male,55,asian,no,12,Master,53,11,70462,0
478,female,57,white,no,11,PhD,53,3,46987,0
479,female,23,white,no,7,Master,93,16,88437,1
480,male,36,white,no,12,Bachelor,15,15,73417,1
481,female,55,white,no,1,Bachelor,66,6,76074,0
482,female,57,hispanic,no,8,PhD,40,17,49745,0
483,male,27,white,no,10,Bachelor,43,3,119785,1
484,female,60,asian,no,0,Bachelor,57,3,101917,0
485,female,63,hispanic,no,9,PhD,94,10,104103,1
486,female,33,asian,no,14,Master,82,16,72363,0
487,male,24,black,no,8,PhD,60,16,36770,1
488,male,39,asian,no,9,PhD,5,15,128822,0
489,female,61,hispanic,no,13,PhD,60,16,78472,0
490,female,42,black,no,7,Bachelor,8,13,61280,0
491,male,36,black,no,8,Bachelor,34,17,90420,0
492,female,54,black,no,2,Master,16,4,109178,0
493,male,56,black,no,9,Master,39,3,79423,0
494,male,47,black,no,7,Bachelor,81,13,111964,1
495,male,29,white,no,12,Bachelor,56,10,107074,1
496,male,57,white,no,13,Bachelor,35,6,53090,1
497,female,51,white,no,14,Master,91,5,63155,0
498,male,44,white,no,6,Bachelor,72,15,103938,1
499,female,63,white,no,0,Bachelor,56,14,12184,1
500,female,35,white,no,14,Master,84,6,76263,1
501,female,35,black,no,12,Master,11,16,44229,1
502,male,23,white,no,6,Bachelor,26,13,68086,1
503,male,58,asian,no,13,Master,97,7,72529,1
504,female,26,white,no,1,Master,79,3,71043,1
505,female,59,white,no,16,Bachelor,60,17,66193,1
506,male,62,asian,no,7,Bachelor,62,16,52571,0
507,female,35,black,no,5,Bachelor,97,13,137297,1
508,female,60,white,no,6,Bachelor,68,3,126686,0
509,female,46,asian,no,8,PhD,16,5,50948,1
510,female,41,asian,no,9,Bachelor,11,8,119552,0
511,female,23,white,no,10,Master,59,3,70013,0
512,male,60,white,no,7,Bachelor,66,16,83229,1
513,female,27,hispanic,no,11,Bachelor,94,13,78418,0
514,female,38,black,no,10,Master,77,14,63506,1
515,male,46,black,yes,6,Bachelor,81,17,104596,0
516,male,49,asian,no,5,Bachelor,59,4,83147,1
517,male,23,white,no,13,Bachelor,40,17,68086,0
518,female,56,white,no,13,Bachelor,93,14,47385,0
519,female,58,white,no,10,Master,28,16,57660,0
520,male,26,asian,no,15,Bachelor,48,9,38965,1
521,female,22,black,no,0,PhD,21,16,80305,1
522,male,61,black,no,6,Master,6,16,50083,0
523,female,33,white,no,3,Bachelor,17,3,73360,0
524,female,57,white,no,23,Bachelor,35,15,114252,0
525,female,44,white,no,14,Bachelor,97,16,109982,1
526,male,52,asian,no,9,Master,32,17,79193,0
527,male,32,black,yes,14,Bachelor,64,9,77822,0
528,male,31,white,no,16,Master,31,17,126996,1
529,male,24,asian,no,16,Bachelor,19,6,93018,1
